Entity	Annotation	Status	Provenance	link
http://no.dbpedia.org/resource/Acetylsalisylsyre				=hyperlink("http://no.dbpedia.org/resource/Acetylsalisylsyre")
http://oc.dbpedia.org/resource/Aspirina				=hyperlink("http://oc.dbpedia.org/resource/Aspirina")
http://pl.dbpedia.org/resource/Kwas_acetylosalicylowy				=hyperlink("http://pl.dbpedia.org/resource/Kwas_acetylosalicylowy")
http://pt.dbpedia.org/resource/Ácido_acetilsalicílico				=hyperlink("http://pt.dbpedia.org/resource/Ácido_acetilsalicílico")
http://rdf.freebase.com/ns/m.0qkc				=hyperlink("http://rdf.freebase.com/ns/m.0qkc")
http://ro.dbpedia.org/resource/Aspirină				=hyperlink("http://ro.dbpedia.org/resource/Aspirină")
http://ru.dbpedia.org/resource/Ацетилсалициловая_кислота				=hyperlink("http://ru.dbpedia.org/resource/Ацетилсалициловая_кислота")
http://sh.dbpedia.org/resource/Aspirin				=hyperlink("http://sh.dbpedia.org/resource/Aspirin")
http://simple.dbpedia.org/resource/Aspirin				=hyperlink("http://simple.dbpedia.org/resource/Aspirin")
http://sk.dbpedia.org/resource/Kyselina_acetylsalicylová				=hyperlink("http://sk.dbpedia.org/resource/Kyselina_acetylsalicylová")
http://sl.dbpedia.org/resource/Acetilsalicilna_kislina				=hyperlink("http://sl.dbpedia.org/resource/Acetilsalicilna_kislina")
http://sl.dbpedia.org/resource/Aspirin				=hyperlink("http://sl.dbpedia.org/resource/Aspirin")
http://sq.dbpedia.org/resource/Aspirina				=hyperlink("http://sq.dbpedia.org/resource/Aspirina")
http://sr.dbpedia.org/resource/Аспирин				=hyperlink("http://sr.dbpedia.org/resource/Аспирин")
http://sv.dbpedia.org/resource/Acetylsalicylsyra				=hyperlink("http://sv.dbpedia.org/resource/Acetylsalicylsyra")
http://ta.dbpedia.org/resource/ஆஸ்பிரின்				=hyperlink("http://ta.dbpedia.org/resource/ஆஸ்பிரின்")
http://th.dbpedia.org/resource/แอสไพริน				=hyperlink("http://th.dbpedia.org/resource/แอสไพริน")
http://tl.dbpedia.org/resource/Aspirin				=hyperlink("http://tl.dbpedia.org/resource/Aspirin")
http://tr.dbpedia.org/resource/Aspirin				=hyperlink("http://tr.dbpedia.org/resource/Aspirin")
http://uk.dbpedia.org/resource/Ацетилсаліцилова_кислота				=hyperlink("http://uk.dbpedia.org/resource/Ацетилсаліцилова_кислота")
http://ur.dbpedia.org/resource/Aspirin				=hyperlink("http://ur.dbpedia.org/resource/Aspirin")
http://uz.dbpedia.org/resource/Atsetilsalitsil_kislota				=hyperlink("http://uz.dbpedia.org/resource/Atsetilsalitsil_kislota")
http://vi.dbpedia.org/resource/Aspirin				=hyperlink("http://vi.dbpedia.org/resource/Aspirin")
http://wa.dbpedia.org/resource/Aspirene				=hyperlink("http://wa.dbpedia.org/resource/Aspirene")
http://war.dbpedia.org/resource/Aspirin				=hyperlink("http://war.dbpedia.org/resource/Aspirin")
http://www.wikidata.org/entity/Q18216				=hyperlink("http://www.wikidata.org/entity/Q18216")
http://yi.dbpedia.org/resource/אספירין				=hyperlink("http://yi.dbpedia.org/resource/אספירין")
