<http://hub.culturegraph.org/about/BVB-BV009058863>,<http://lod.b3kat.de/isbn/0853346143>,<http://lod.b3kat.de/title/BV009058863>
<http://cs.dbpedia.org/resource/Tel_Ze'evim>,<http://www.wikidata.org/entity/Q12058541>
<http://d-nb.info/gnd/137677049>,<http://viaf.org/viaf/248367554>
<http://id.dbpedia.org/resource/My_Dream>,<http://www.wikidata.org/entity/Q12499755>
<http://ja.dbpedia.org/resource/%E3%82%B9%E3%83%99%E3%83%AA>,<http://ja.dbpedia.org/resource/スベリ>,<http://www.wikidata.org/entity/Q11312892>
<http://hub.culturegraph.org/about/BVB-BV003085506>,<http://lod.b3kat.de/title/BV003085506>
<http://d-nb.info/gnd/143571265>,<http://viaf.org/viaf/167825461>
<http://de.dbpedia.org/resource/Peter_St%C3%A4hle>,<http://de.dbpedia.org/resource/Peter_Stähle>,<http://www.wikidata.org/entity/Q2078556>
<http://d-nb.info/gnd/159901014>,<http://viaf.org/viaf/249103937>
<http://hub.culturegraph.org/about/BVB-BV008590044>,<http://lod.b3kat.de/title/BV008590044>
<http://d-nb.info/gnd/11178137X>,<http://viaf.org/viaf/271598675>
<http://ba.dbpedia.org/resource/%D2%A0%D0%B0%D0%BB%D1%8B%D0%BF:Exochomus>,<http://ba.dbpedia.org/resource/Ҡалып:Exochomus>
<http://dbpedia.org/resource/Marco_LuquE>,<http://mpii.de/yago/resource/Marco_LuquE>
<http://ru.dbpedia.org/resource/%D0%9D%D1%83%D1%81%D0%B0%D0%B9%D1%80%D0%B8%D1%82%D1%8B>,<http://ru.dbpedia.org/resource/Нусайриты>
<http://hub.culturegraph.org/about/BVB-BV001549247>,<http://lod.b3kat.de/title/BV001549247>
<http://d-nb.info/gnd/138861358>,<http://viaf.org/viaf/95479183>
<http://www.last.fm/user/virtued>,<http://www.last.fm/user/virtued/#avatarPanel>
<http://d-nb.info/gnd/108904946>,<http://viaf.org/viaf/69487578>
<http://www.last.fm/user/Capt_Flamingo>,<http://www.last.fm/user/Capt_Flamingo/#avatarPanel>
<http://lod.hebis.de/resource/13039546>,http://d-nb.info/97501059X^^<http://www.w3.org/2001/XMLSchema#string>
<http://nl.dbpedia.org/resource/Genotina_genotae>,<http://pt.dbpedia.org/resource/Genotina_genotae>,<http://www.wikidata.org/entity/Q10288759>
<http://bibsonomy.org/uri/bibtexkey/journals/dam/DassowH93/dblp>,<http://dblp.l3s.de/d2r/resource/publications/journals/dam/DassowH93>,<http://dblp.rkbexplorer.com/id/journals/dam/DassowH93>
<http://www.last.fm/user/WILDMAN1971>,<http://www.last.fm/user/WILDMAN1971/#avatarPanel>
<http://d-nb.info/gnd/130327646>,<http://viaf.org/viaf/8490696>
<http://bibsonomy.org/uri/bibtexkey/conf/sysose/PhamMFS09/dblp>,<http://dblp.l3s.de/d2r/resource/publications/conf/sysose/PhamMFS09>,<http://dblp.rkbexplorer.com/id/conf/sysose/PhamMFS09>
<http://lod.hebis.de/resource/01653742>,http://d-nb.info/910726736^^<http://www.w3.org/2001/XMLSchema#string>
<http://d-nb.info/gnd/123401623>,<http://viaf.org/viaf/79480645>
<http://no.dbpedia.org/resource/Teatergarasjen>,<http://www.wikidata.org/entity/Q12005311>
<http://kk.dbpedia.org/resource/%D2%AE%D0%BB%D0%B3%D1%96:%D0%94%D0%B5%D0%BC%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F/FRA/Lignerolles_(Allier)>,<http://kk.dbpedia.org/resource/Үлгі:Демография/FRA/Lignerolles_(Allier)>
<http://d-nb.info/1009499394>,<http://lobid.org/resource/HT016667659>
<http://bibsonomy.org/uri/bibtexkey/journals/amc/ChenZXWXZ14/dblp>,<http://dblp.l3s.de/d2r/resource/publications/journals/amc/ChenZXWXZ14>,<http://dblp.rkbexplorer.com/id/journals/amc/ChenZXWXZ14>
<http://hub.culturegraph.org/about/BVB-BV007420915>,<http://lod.b3kat.de/title/BV007420915>
<http://hub.culturegraph.org/about/BVB-BV008242631>,<http://lod.b3kat.de/title/BV008242631>
<http://www.last.fm/user/EnrageD>,<http://www.last.fm/user/EnrageD/#avatarPanel>
<http://hub.culturegraph.org/about/BVB-BV007067659>,<http://lod.b3kat.de/title/BV007067659>
<http://d-nb.info/gnd/116145749>,<http://data.bibsys.no/data/notrbib/authorityentry/x90239362>,<http://viaf.org/viaf/25346071>
<http://datos.bne.es/resource/XX1571331>,<http://viaf.org/viaf/87294179>
<http://no.dbpedia.org/resource/Texas_Jensen>,<http://www.wikidata.org/entity/Q12005674>
<http://cs.dbpedia.org/resource/Karolinenh%C3%BCtte>,<http://cs.dbpedia.org/resource/Karolinenhütte>
<http://lobid.org/resource/HT016482908>,<http://lod.b3kat.de/title/BV011216663>
<http://lod.hebis.de/resource/11106186>,http://d-nb.info/966559231^^<http://www.w3.org/2001/XMLSchema#string>
<http://ro.dbpedia.org/resource/Viorel_M%C4%83rginean>,<http://ro.dbpedia.org/resource/Viorel_Mărginean>
<http://commons.dbpedia.org/resource/Category:Polish_Institute_in_Budapest>,<http://hu.dbpedia.org/resource/Lengyel_Intézet_(Budapest)>
<http://uz.dbpedia.org/resource/Maduray>,<http://www.wikidata.org/entity/Q12826406>
<http://www.last.fm/user/strata_rep>,<http://www.last.fm/user/strata_rep/#avatarPanel>
<http://d-nb.info/gnd/110072316>,<http://viaf.org/viaf/59672605>
<http://tr.dbpedia.org/resource/Mor_(anlam_ayr%C4%B1m%C4%B1)>,<http://tr.dbpedia.org/resource/Mor_(anlam_ayrımı)>,<http://www.wikidata.org/entity/Q5994827>
<http://tl.dbpedia.org/resource/Na%E1%BA%95rat>,<http://tl.dbpedia.org/resource/Naẕrat>
<http://zh.dbpedia.org/resource/%E9%9F%B3%E7%95%8C%E5%8F%B7>,<http://zh.dbpedia.org/resource/音界号>
<http://ru.dbpedia.org/resource/%D0%A1%D0%B5%D1%81%D0%B8%D0%BB%D0%B8%D0%BE_%D0%B4%D0%B5_%D0%A0%D0%BE%D0%B4%D0%B0-%D0%B8-%D0%9B%D0%BE%D0%BF%D0%B5%D1%81>,<http://ru.dbpedia.org/resource/Сесилио_де_Рода-и-Лопес>
<http://kk.dbpedia.org/resource/%D0%9D%D1%8B%D1%81%D0%B0%D0%BD%D0%B0_%D0%BA%D0%BE%D0%BE%D1%80%D0%B4%D0%B8%D0%BD%D0%B0%D1%82%D1%82%D0%B0%D1%80%D1%8B>,<http://kk.dbpedia.org/resource/Нысана_координаттары>
<http://ja.dbpedia.org/resource/%E5%90%BE%E5%A6%BB%E7%A5%9E%E7%A4%BE_(%E6%9C%A8%E6%9B%B4%E6%B4%A5%E5%B8%82)>,<http://ja.dbpedia.org/resource/吾妻神社_(木更津市)>,<http://www.wikidata.org/entity/Q11416641>
<http://ja.dbpedia.org/resource/%E5%AE%BF%E7%A6%B0>,<http://ja.dbpedia.org/resource/宿禰>,<http://www.wikidata.org/entity/Q11455653>,<http://zh.dbpedia.org/resource/宿禰>
<http://d-nb.info/gnd/102848562X>,<http://viaf.org/viaf/287454624>
<http://lod.hebis.de/resource/02991681>,http://d-nb.info/940481758^^<http://www.w3.org/2001/XMLSchema#string>
<http://www.last.fm/user/debiking>,<http://www.last.fm/user/debiking/#avatarPanel>
<http://d-nb.info/gnd/116724897>,<http://viaf.org/viaf/45061346>
"<http://vi.dbpedia.org/resource/Orta%C3%A7okde%C4%9Firmen,_Kumru>","<http://vi.dbpedia.org/resource/Ortaçokdeğirmen,_Kumru>",<http://www.wikidata.org/entity/Q10803195>
<http://bio2rdf.org/pfam:PF02331>,<http://bio2rdf.org/pfam:pf02331>
<http://www.last.fm/user/eternitysea>,<http://www.last.fm/user/eternitysea/#avatarPanel>
<http://hub.culturegraph.org/about/BVB-BV003026820>,<http://lod.b3kat.de/title/BV003026820>
<http://ka.dbpedia.org/resource/%E1%83%AC%E1%83%90%E1%83%A7%E1%83%98%E1%83%9C%E1%83%95%E1%83%90>,<http://ka.dbpedia.org/resource/წაყინვა>,<http://www.wikidata.org/entity/Q12871071>
<http://www.last.fm/user/Bro091>,<http://www.last.fm/user/Bro091/#avatarPanel>
<http://ne.dbpedia.org/resource/%E0%A4%A2%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A4%BE:Awaiting/doc>,<http://ne.dbpedia.org/resource/ढाँचा:Awaiting/doc>
<http://hub.culturegraph.org/about/BVB-BV003634220>,<http://lod.b3kat.de/isbn/0131137131>,<http://lod.b3kat.de/title/BV003634220>
<http://ld.zdb-services.de/resource/14252892>,<http://lobid.org/resource/HT012675520>,<http://lobid.org/resource/ZDB1425289-2>
<http://d-nb.info/1000885925>,<http://lobid.org/resource/HT016325475>
<http://dbpedia.org/resource/Florida_Democratic_primary%2C_2008>,<http://rdf.freebase.com/ns/guid.9202a8c04000641f800000000734df34>
<http://ko.dbpedia.org/resource/정향나무_(물푸레나무과)>,<http://www.wikidata.org/entity/Q10893842>,<http://zh.dbpedia.org/resource/%E5%85%B3%E4%B8%9C%E5%B7%A7%E7%8E%B2%E8%8A%B1>,<http://zh.dbpedia.org/resource/关东巧玲花>
